Store,Dept,Demand_Avg,Demand_Std,Safety_Stock,ROP
1,1,22513.322937062938,9854.349032299468,22922.933534627347,67949.57940875323
1,2,46102.09041958042,3440.6732222835767,8003.60564967471,100207.78648883554
1,3,13150.478041958042,8708.978852534268,20258.602850048854,46559.55893396494
1,4,36964.154475524476,2930.698313474753,6817.315119408757,80745.6240704577
1,5,24257.94111888112,11330.286495362407,26356.22134046463,74872.10357822687
1,6,4801.7801398601405,3317.432691331577,7716.926692949583,17320.486972669863
1,7,24566.487412587412,18808.958464688912,43752.915928635615,92885.89075381044
1,8,35718.25762237762,2490.7691879567255,5793.9632905722965,77230.47853532754
1,9,28062.05223776224,8422.254592935671,19591.632244075685,75715.73671960016
1,10,31033.386363636364,3509.190494846424,8162.988768720332,70229.76149599307
1,11,24919.270629370632,6135.18312309653,14271.505351855018,64110.046610596284
1,12,10566.545314685314,1743.067882318456,4054.6797238220006,25187.77035319263
1,13,38692.88048951049,2509.8480519953155,5838.344053912352,83224.10503293334
1,14,15268.550909090907,5667.1358754168305,13182.745869675053,43719.84768785687
1,16,24151.06132867133,15457.022600034059,35955.72884037926,84257.85149772192
1,17,9196.557902097902,2025.0291960503025,4710.570887492619,23103.686691688425
1,18,7765.304424778761,11435.692634746933,26601.41439373822,42132.02324329574
1,19,1259.0185314685314,394.02726605797733,916.5761027007486,3434.613165637811
1,20,4091.5715384615382,921.3118931033465,2143.1320547960786,10326.275131719154
1,21,7808.450559440559,1067.2450177573348,2482.5979399579796,18099.499058839097
1,22,8052.076153846153,2567.297147859385,5971.980664692031,22076.132972384337
1,23,21623.184685314685,5973.220675311968,13894.752467062512,57141.121837691884
1,24,6187.38972027972,2988.1750683678847,6951.016069911206,19325.795510470645
1,25,10152.336783216782,1975.402197301874,4595.129838052967,24899.80340448653
1,26,6767.9972727272725,1905.108020641594,4431.613330349267,17967.607875803813
1,27,1374.6496503496503,687.9051992287405,1600.1874003406817,4349.486701039982
1,28,593.113986013986,212.43688079693726,494.16521404412117,1680.3931860720932
1,29,4651.04020979021,1582.8792007806667,3682.052928499988,12984.133348080408
1,30,3415.295034965035,787.2616368368487,1831.307792774819,8661.89786270489
1,31,2408.533286713287,1599.208761764364,3720.0383337106246,8537.104907137198
1,32,8202.668391608393,5041.978717179085,11728.521350124378,28133.858133341164
1,33,5946.431188811189,2494.81681387646,5803.37877399256,17696.241151614937
1,34,11530.831678321678,2451.83322204421,5703.391447034616,28765.054803677973
1,35,2535.7309090909093,589.2246263139397,1370.6391869913637,6442.101005173183
1,36,1476.2035664335663,1139.133694623828,2649.823533074443,5602.230665941575
1,37,2800.4951048951048,369.59582002328716,859.7443006433626,6460.734510433572
1,38,79978.22258741259,12540.94898771012,29172.433325040252,189128.87849986542
1,40,58510.40916083916,4264.078123276134,9918.988974912423,126939.80729659075
1,41,1064.7696503496504,720.9332673219948,1677.016443760727,3806.555744460028
1,42,7940.326223776223,850.7052975750534,1978.8888063484733,17859.54125390092
1,44,4872.724405594406,1159.5126729956405,2697.228588973063,12442.677400161874
1,45,23.995070422535214,17.828062139162157,41.471180098017975,89.4613209430884
1,46,19662.98986013986,4418.225030993301,10277.561551202063,49603.54127148178
1,47,-116.45454545454545,291.39495816678374,677.8354649798758,444.92637407078496
1,48,917.72792,890.885695152805,2072.3554148530816,3907.8112548530817
1,49,11437.931258741259,2007.9715733681942,4670.891883864971,27546.754401347487
1,51,32.71272727272727,35.684518025392265,83.0084090009549,148.43386354640944
1,52,2355.439370629371,678.9606435203748,1579.380804661191,6290.259545919933
1,54,90.92105263157895,99.55917104813932,231.5919857535789,413.43409101673683
1,55,12817.843356643358,6148.786845772161,14303.14998202743,39938.836695314145
1,56,4000.4806293706292,4020.302474965057,9351.92432505279,17352.88558379405
1,58,3372.4744755244756,1542.1833273480336,3587.387233305693,10332.336184354645
1,59,857.7751048951048,1880.95821672257,4375.436676945212,6090.986886735422
1,60,1020.9958041958041,238.65685481139744,555.1574439360309,2597.149052327639
1,67,7436.017342657343,3552.203603961903,8263.044758024143,23135.07944333883
1,71,2732.4733566433565,1018.142750942668,2368.377508460893,7833.324221747605
1,72,47390.644895104895,23056.474450945407,53633.37848593808,148414.66827614786
1,74,11652.827412587412,2119.986324900325,4931.457720923582,28237.112546098408
1,77,677.0,660.0022727233596,1535.2803296038962,2889.2803296038965
1,78,11.5,1.0,2.3261743073533476,25.326174307353348
1,79,33974.792937062935,5728.899399484748,13326.41859249344,81276.00446661931
1,80,17139.314615384617,2414.333401405141,5616.160327733656,39894.78955850289
1,81,29780.696573426576,1849.372056538973,4301.961762658181,63863.354909511334
1,82,20727.86090909091,5896.743538089706,13716.85331535615,55172.57513353797
1,83,5704.0489510489515,1172.912137590897,2728.3980792468387,14136.495981344742
1,85,3685.8755244755243,1123.845618127981,2614.260802320951,9986.011851272
1,87,46006.2772027972,9269.715751096617,21562.974616669588,113575.52902226399
1,90,82427.54783216784,8355.642883716539,19436.681797521247,184291.77746185692
1,91,64238.94342657343,6063.2766620920875,14104.238389733779,142582.12524288063
1,92,135458.96951048952,16599.48470749365,38613.29484187653,309531.2338628556
1,93,71699.18237762238,9300.200075905004,21633.886469815872,165032.2512250606
1,94,63180.568181818184,6605.065019858839,15364.532547593959,141725.6689112303
1,95,120772.06216783218,10234.444723918881,23807.102366808125,265351.2267024725
1,96,33251.831639344266,6028.142269548692,14022.509668494864,80526.1729471834
1,97,35207.34881118881,3388.4967227386464,7882.234016985659,78296.93163936328
1,98,11827.770769230769,2081.131442340607,4841.074491397935,28496.616029859473
1,99,306.0910810810811,538.3122460048618,1252.2081159901843,1864.3902781523466
2,1,30777.98076923077,14320.969925903304,33313.07229801624,94869.03383647779
2,2,65912.92251748251,4862.228411892653,11310.39080822816,143136.2358431932
2,3,17476.563356643357,12766.064825949774,29696.092004131646,64649.218717418364
2,4,45607.66657342658,3547.802847818671,8252.807832150831,99468.14097900399
2,5,30555.315314685315,18040.0567097679,41964.31642145946,103074.94705083009
2,6,6808.382517482517,4663.2007550654425,10847.417786463964,24464.182821429
2,7,40477.83706293706,33691.274223641594,78371.77648103118,159327.4506069053
2,8,58707.36944055944,3867.068133465881,8995.474536853199,126410.21341797209
2,9,34375.864475524475,9224.62444951995,21458.084389456824,90209.81334050577
2,10,38845.85447552448,3890.050666584058,9048.9359149106,86740.64486595956
2,11,23382.686153846156,5950.488064802908,13841.872452557267,60607.24476024958
2,12,7735.9462937062945,1141.143678569435,2654.4991060869065,18126.391693499496
2,13,46117.95923076923,2979.123436120245,6929.960395537136,99165.8788570756
2,14,21314.132937062936,8828.08815588158,20535.671851262126,63163.937725387994
2,16,27005.17965034965,18032.090697713524,41945.786088886496,95956.1453895858
2,17,13790.854195804195,3138.5289480927327,7300.7654019380425,34882.473793546436
2,18,11687.563008849558,16496.08765736547,38372.775280412236,61747.90129811135
